hast_speciesID|hast_genusID|hast_species|hast_speciesZh
177|39|Plagiogyria japonica Nakai|華東瘤足蕨
178|39|Plagiogyria koidzumii Tagawa|小泉氏瘤足蕨
179|39|Plagiogyria rankanensis Hayata|瘤足蕨
180|39|Plagiogyria stenoptera (Hance) Diels|耳形瘤足蕨
181|39|Plagiogyria parva DeVol    [nom. nud.]|小瘤足蕨
182|39|Plagiogyria glauca (Bl.) Merr. var. philippinensis Christ|台灣瘤足蕨
183|39|Plagiogyria adnata (Blume) Bedd.|小瘤足蕨
184|40|Cibotium barometz (L.) J. Sm.|金狗毛蕨
185|40|Cibotium taiwanianum Kuo|台灣金狗毛蕨
186|40|Cibotium cumingii Kunze|菲律賓金狗毛蕨
187|41|Cyathea fenicis Copel.|蘭嶼筆筒樹
188|41|Cyathea hancockii Copel.|韓氏桫欏
189|41|Cyathea lepifera (J. Sm. ex Hook.) Copel.|筆筒樹
190|41|Cyathea loheri Christ|南洋桫欏
191|41|Cyathea metteniana (Hance) C. Chr. & Tardieu|台灣樹蕨
192|41|Cyathea podophylla (Hook.) Copel.|鬼桫欏
193|41|Cyathea spinulosa Wall. ex Hook.|台灣桫欏
194|42|Alsophila fenicis (Copel.) C. Chr.|蘭嶼筆筒樹
195|42|Alsophila metteniana Hance|台灣樹蕨
196|42|Alsophila podophylla Hook.|鬼杪欏
197|42|Alsophila spinulosa (Hook.) Tryon|台灣桫欏
198|43|Sphaeropteris lepifera (Hook.) Tryon|筆筒樹
199|44|Dennstaedtia hirsuta (Sw.) Mett. ex Miq.|細毛碗蕨
200|44|Dennstaedtia scabra (Wall. ex Hook.) Moore|碗蕨
201|44|Dennstaedtia scandens (Bl.) Moore|刺柄碗蕨
202|44|Dennstaedtia smithii (Hook.) Moore|司氏碗蕨
203|45|Histiopteris incisa (Thunb.) J. Sm.|栗蕨
204|46|Hypolepis punctata (Thunb.) Mett.|姬蕨
205|46|Hypolepis tenuifolia (G. Forst.) Bernh.|細葉姬蕨
206|47|Microlepia calvescens (Wall. ex Hook.) Presl var. calvescens|光葉鱗蓋蕨
207|47|Microlepia calvescens (Wall. ex Hook.) Presl|光葉鱗蓋蕨
208|47|Microlepia calvescens (Wall. ex Hook.) Presl var. intramarginalis (Tagawa) Shieh|羽葉鱗蓋蕨
209|47|Microlepia hookeriana (Wall. ex Hook.) Presl|虎克氏鱗蓋蕨
210|47|Microlepia marginata (Panzer) C. Chr. var. bipinnata Makino|台北鱗蓋蕨
211|47|Microlepia marginata (Panzer) C. Chr. var. marginata|邊緣鱗蓋蕨
212|47|Microlepia marginata (Panzer) C. Chr.|邊緣鱗蓋蕨
213|47|Microlepia obtusiloba Hayata|團羽鱗蓋蕨
214|47|Microlepia platyphylla (Don) J. Sm.|闊葉鱗蓋蕨
215|47|Microlepia speluncae (L.) Moore|熱帶鱗蓋蕨
216|47|Microlepia strigosa (Thunb.) C. Presl|粗毛鱗蓋蕨
217|47|Microlepia substrigosa Tagawa|亞粗毛鱗蓋蕨
218|47|Microlepia taiwaniana Tagawa|台灣鱗蓋蕨
219|47|Microlepia tenera Christ|嫩鱗蓋蕨
220|47|Microlepia trapeziformis (Roxb.) Kuhn|針毛鱗蓋蕨
221|47|Microlepia trichocarpa Hayata|毛果鱗蓋蕨
222|47|Microlepia intramarginalis (Tagawa) Serizawa|羽裂鱗蓋蕨
223|47|Microlepia krameri C. M. Kuo|克氏鱗蓋蕨
224|47|Microlepia rhomboidea (Wall. ex Kunze) Prantl|斜方鱗蓋蕨
225|47|Microlepia sinostrigosa Ching|中華鱗蓋蕨
226|48|Monachosorum henryi Christ|稀子蕨
227|48|Monachosorum maximowiczii (Bak.) Hayata|岩穴蕨
228|49|Paesia taiwanensis Shieh|台灣曲軸蕨
229|49|Paesia radula (Bak.) C. Chr.|曲軸蕨
230|50|Pteridium aquilinum (L.) Kuhn|
231|50|Pteridium aquilinum (L.) Kuhn subsp. latiusculum (Desv.) Under|蕨
232|50|Pteridium aquilinum (L.) Kuhn subsp. latiusculum (Desv.) Shieh|蕨
233|50|Pteridium aquilinum (L.) Kuhn subsp. wightianum (Wall.) Shieh|巒大蕨
234|50|Pteridium aquilinum (L.) Kuhn subsp. wightianum (Wall.) Under|巒大蕨
235|50|Pteridium revolutum (Bl.) Nakai|巒大蕨
236|51|Wicrolepia obtusiloba Hayata × calvescens (Wall.) Shieh|
237|52|Lindsaea cultrata (Willd.) Sw.|網脈陵齒蕨
238|52|Lindsaea ensifolia Sw.|箭葉陵齒蕨
239|52|Lindsaea heterophylla Dryand.|異葉陵齒蕨
240|52|Lindsaea japonica (Baker) Diels|日本陵齒蕨
241|52|Lindsaea merrillii Copel. subsp. yaeyamensis (Tagawa) Shieh|攀緣陵齒蕨
242|52|Lindsaea merrillii Copel. var. yaeyamensis (Tagawa) W. C. Shieh|攀緣陵齒蕨
243|52|Lindsaea odorata Roxb.|陵齒蕨
244|52|Lindsaea orbiculata (Lam.) Mett. ex Kuhn|圓葉陵齒蕨
245|52|Lindsaea orbiculata (Lam.) Mett. ex Kuhn var. orbiculata|圓葉陵齒蕨
246|52|Lindsaea orbiculata (Lam.) Mett. ex Kuhn var. deltoidea Y. C. Wu|三角葉陵齒蕨
247|52|Lindsaea orbiculata (Lam.) Mett. ex Kuhn var. commixta (Tagawa) W. C. Shieh|海島陵齒蕨
248|52|Lindsaea orbiculata (Lam.) Mett. ex Kuhn var. recedens (Ching) W. C. Shieh|闊片陵齒蕨
249|52|Lindsaea securifolia Presl var. kusukusensis (Hayata) W. C. Shieh|方柄陵齒蕨
250|52|Lindsaea chienii Ching|錢氏鱗始蕨
251|52|Lindsaea commixta Tagawa|海島鱗始蕨
252|52|Lindsaea javanensis Blume|爪哇鱗始蕨
253|52|Lindsaea kawabatae Sa. Kurata|細葉鱗始蕨
254|52|Lindsaea lucida Blume|方柄鱗始蕨
255|52|Lindsaea obtusa J. Sm.|鈍齒鱗始蕨
256|53|Sphenomeris biflora (Kaulf.) Tagawa|闊片烏蕨
257|53|Sphenomeris chusana (L.) Copel.|烏蕨
258|54|Tapeinidium pinnatum (Cav.) C. Chr.|達邊蕨
259|54|Tapeinidium pinnatum (Cav.) C. Chr. var. pinnatum|達邊蕨
260|54|Tapeinidium pinnatum (Cav.) C. Chr. var. biserratum (Blume) W. C. Shieh|二羽達邊蕨
261|54|Tapeinidium biserratum (Blume) C. M. Kuo|二羽達邊蕨
262|54|Tapeinidium gracile (Blume) Alderw.|細葉達邊蕨
263|55|Araiostegia parvipinnata (Hayata) Copel.|台灣小膜蓋蕨
264|55|Araiostegia perdurans (Christ) Copel.|小膜蓋蕨
265|56|Davallia formosana Hayata|大葉骨碎補
266|56|Davallia mariesii Moore ex Bak.|海州骨碎補
267|56|Davallia solida (Forst.) Sw.|闊葉骨碎補
268|56|Davallia chrysanthemifolia Hayata|阿里山陰石蕨
269|56|Davallia cumingii Hook.|鱗葉陰石蕨
270|56|Davallia griffithiana Hook.|杯狀蓋陰石蕨
271|56|Davallia parallela Wall. ex Hook.|馬來陰石蕨
272|56|Davallia pedata Sm.|陰石蕨
273|56|Davallia tyermanii Moore|圓蓋陰石蕨
274|56|Davallia vestita Bl.|熱帶陰石蕨
275|56|Davallia divaricata Bl.|大葉骨碎補
276|57|Humata chrysanthemifolia (Hayata) Hayata|阿里山陰石蕨
277|57|Humata griffithiana (Hook.) C. Chr.|杯狀蓋陰石蕨
278|57|Humata pectinata (J. Sm.) Desv.|馬來陰石蕨
279|57|Humata repens (L. f.) Diels|陰石蕨
280|57|Humata trifoliata Cav.|鱗葉陰石蕨
281|57|Humata vestita (Bl.) Moore|熱帶陰石蕨
282|57|Humata solida (Forst.) Sw|
283|58|Leucostegia immersa (Wall.) Presl|大膜蓋蕨
284|59|Arthropteris palisotii (Desv.) Alston|藤蕨
285|60|Nephrolepis auriculata (L.) Trimen|腎蕨
286|60|Nephrolepis biserrata (Sw.) Schott.|長葉腎蕨
287|60|Nephrolepis multiflora (Roxb.) F.M. Jarrett ex C.V. Morton|毛葉腎蕨
288|61|Oleandra wallichii (Hook.) Presl|蓧蕨
289|62|Cheilanthes argentea (Gmel.) Kunze|長柄粉背蕨
290|62|Cheilanthes chusana Hook.|細葉碎米蕨
291|62|Cheilanthes farinosa (Forssk.) Kaulf.|深山粉背蕨
292|62|Cheilanthes hirsuta (Poir.) Mett.|毛碎米蕨
293|62|Cheilanthes tenuifolia (Burm.) Sw.|薄葉碎米蕨
294|62|Cheilanthes agetae (Saiki) Kuo|深山粉背蕨
295|62|Cheilanthes dealbata D. Don.|臺灣粉背蕨
296|62|Cheilanthes henryi Christ|擬旱蕨
297|62|Cheilanthes mexicana Fee.|粉背蕨
298|62|Cheilanthes mysuriensis Wall.|細葉碎米蕨
299|62|Cheilanthes nitidula Hook.|擬旱蕨
300|62|Cheilanthes subargentea (Ching et S. K. Wu) Kuo|擬長柄粉背蕨
301|63|Cryptogramma brunoniana Wall. ex Hook. Et Grev.|高山珠蕨
302|63|Cryptogramma stelleri (Gmel.) Prantl|疏葉珠蕨
303|64|Doryopteris concolor (Langsd. & Fisch.) Kuhn|黑心蕨
304|65|Mildella henryi (Christ) Hall & Lell.|亨利氏擬旱蕨
305|66|Onychium contiguum (Wall.) Hope|高山金粉蕨
306|66|Onychium japonicum (Thunb.) Kunze|日本金粉蕨
307|66|Onychium siliculosum (Desv.) C. Chr.|金粉蕨
308|66|Onychium lucidum (D. Don.) Spreng.|高山金粉蕨
309|67|Pteris angustipinna Tagawa|細葉鳳尾蕨
310|67|Pteris bella Tagawa|長柄鳳尾蕨
311|67|Pteris biaurita L.|弧脈鳳尾蕨
312|67|Pteris cadieri Christ|二形鳳尾蕨
313|67|Pteris cretica L.|大葉鳳尾蕨
314|67|Pteris cretica L. var cretica|大葉鳳尾蕨
315|67|Pteris cretica L. var. laeta (Wall.) C. Chr. & Tard.-Blot|闊葉鳳尾蕨
316|67|Pteris dactylina Hook.|掌鳳尾蕨
317|67|Pteris deltodon Bak.|岩鳳尾蕨
318|67|Pteris dispar Kunze|天草鳳尾蕨
319|67|Pteris ensiformis Burm.|箭葉鳳尾蕨
320|67|Pteris excelsa Gaud.|溪鳳尾蕨
321|67|Pteris fauriei Hieron. var. fauriei|
322|67|Pteris fauriei Hieron. var. minor Hieron.|
323|67|Pteris fauriei Hieron.|傅氏鳳尾蕨
324|67|Pteris formosana Bak.|台灣鳳尾蕨
325|67|Pteris grevilleana Wall. ex J. Agardh|翅柄鳳尾蕨
326|67|Pteris kidoi Sa. Kurata|城戶氏鳳尾蕨
327|67|Pteris linearis Poir.|三角脈鳳尾蕨
328|67|Pteris longipes Don|蓬萊鳳尾蕨
329|67|Pteris longipinna Hayata|長葉鳳尾蕨
330|67|Pteris multifida Poir.|鳳尾蕨
331|67|Pteris nipponica Shieh|日本鳳尾蕨
332|67|Pteris pellucidifolia Hayata|闊葉鳳尾蕨
333|67|Pteris scabristipes Tagawa|紅柄鳳尾蕨
334|67|Pteris semipinnata L.|半邊羽裂鳳尾蕨
335|67|Pteris setuloso-costulata Hayata|有刺鳳尾蕨
336|67|Pteris tokioi Masam.|鈴木氏鳳尾蕨
337|67|Pteris tripartita Sw.|三腳鳳尾蕨
338|67|Pteris venusta Kunze|爪哇鳳尾蕨
339|67|Pteris vittata L.|鱗蓋鳳尾蕨
340|67|Pteris wallichiana Ag. var. magna (Christ) Tagawa|
341|67|Pteris wallichiana Ag.|瓦氏鳳尾蕨
342|67|Pteris wallichiana Ag. var. wallichiana|
343|67|Pteris ×wulaiensis Kuo|烏來鳳尾蕨
344|67|Pteris ryukyuensis Tagawa|琉球鳳尾蕨
345|67|Pteris inaequalis Bak. var. aequata (Miq.) Tagawa|
346|67|Pteris inaequalis Bak. var. inaequalis|
347|67|Pteris inaequalis Bak.|
348|68|Acrostichum aureum L.|鹵蕨
349|69|Adiantum capillus-junonis Rupr.|團羽鐵線蕨
350|69|Adiantum capillus-veneris L.|鐵線蕨
351|69|Adiantum caudatum L.|鞭葉鐵線蕨
352|69|Adiantum diaphanum Blume|長尾鐵線蕨
353|69|Adiantum edgeworthii Hook.|愛氏鐵線蕨
354|69|Adiantum edgeworthii Hook. var. spenserianum (Copel.) Tagawa|
355|69|Adiantum edgeworthii Hook. var edgeworthii|
356|69|Adiantum flabellulatum L.|扇葉鐵線蕨
357|69|Adiantum formosanum Tagawa|深山鐵線蕨
358|69|Adiantum hispidulum Sw.|毛葉鐵線蕨
359|69|Adiantum malesianum J. Ghatak|馬來鐵線蕨
360|69|Adiantum monochlamys Eat.|石長生
361|69|Adiantum myriosorum Bak.|灰背鐵線蕨
362|69|Adiantum philippense L.|半月鐵線蕨
363|69|Adiantum roborowskii Maxim. var. taiwanianum (Tagawa) Shieh|台灣高山鐵線蕨
364|69|Adiantum soboliferum Wall. ex Hook.|翅柄鐵線蕨
365|69|Adiantum meishanianum Kuo|梅山鐵線蕨
366|69|Adiantum taiwanianum Tagawa|台灣鐵線蕨
367|69|Adiantum wangii Kuo|王氏鐵線蕨
368|69|Adiantum pubescens Schkuhr|
369|70|Anogramma leptophylla (L.) Link|翠蕨
370|71|Coniogramme fraxinea (Don) Diels|全緣鳳了蕨
371|71|Coniogramme intermedia Heiron.|華鳳了蕨
372|71|Coniogramme japonica (Thunb.) Diels|日本鳳了蕨
373|71|Coniogramme procera (Wall.) Fée|高山鳳了蕨
374|71|Coniogramme taiwanensis Ching ex Shing|臺灣鳳了蕨
375|72|Gymnopteris vestita (Wall.) Underw.|金毛裸蕨
376|73|Hemionitis arifolia (Burm.) Moore|澤瀉蕨
377|74|Pityrogramma calomelanos (L.) Link|粉葉蕨
378|75|Neurogramme vestita Diels|
379|76|Antrophyum formosanum Hieron.|台灣車前蕨
380|76|Antrophyum obovatum Bak.|車前蕨
381|76|Antrophyum parvulum Bl.|無柄車前蕨
382|76|Antrophyum sessilifolium (Cav.) Spring|蘭嶼車前蕨
383|76|Antrophyum castaneum H. Ito|
384|76|Antrophyum grevillei H. Ito|
385|76|Antrophyum reticulatum Kaulfuss|
386|77|Vaginularia paradoxa (Fée ) Mett.|連孢一條線蕨
387|77|Vaginularia trichoidea (J. Sm.) Fée|一條線蕨
388|78|Vittaria anguste-elongata Hayata|姬書帶蕨
389|78|Vittaria flexuosa Fée|書帶蕨
390|78|Vittaria taeniophylla Copel.|廣葉書帶蕨
391|78|Vittaria zosterifolia Willd.|垂葉書帶蕨
392|78|Vittaria mediosora Hayata|細葉書帶蕨
393|78|Vittaria elongata Swartz|
394|78|Vittaria formosana Nakai|垂葉書帶蕨
395|78|Vittaria tortifrons Hayata|垂葉書帶蕨
396|79|Monogramma paradoxa (Fée) Beddome|連孢一條線蕨
397|79|Monogramma trichoidea (Fée) J. Sm. ex Hooker|一條線蕨
398|80|Matteuccia orientalis (Hook.) Trev.|東方莢果蕨
399|81|Onoclea orientalis (Hook.) Hook.|東方莢果蕨
400|82|Blechnum melanopus Hook.|雉尾烏毛蕨
401|82|Blechnum orientale L.|烏毛蕨
402|82|Blechnum eburneum Christ|天長烏毛蕨
403|82|Blechnum fraseri (Cunn.) Luerssen|假桫欏
404|82|Blechnum fraseri (Cunn.) Luerssen var. fraseri|
405|82|Blechnum fraseri (Cunn.) Luerssen var. philippinense (Christ) Coplel.|
406|82|Blechnum hancockii Hance|韓氏烏毛蕨
407|83|Brainea insignis (Hook.) J. Sm.|蘇鐵蕨
408|83|Brainea insignis (Hook.) J. Sm. var. insignis|
409|83|Brainea insignis (Hook.) J. Sm. var. formosana (Hayata) Tagawa|
410|84|Diploblechnum fraseri (A. Cunn.) DeVol|假桫欏
411|85|Struthiopteris eburnea (Christ) Ching var. obtusa (Tagawa) Tagawa|天長羅曼蕨
412|85|Struthiopteris hancockii (Hance) Tagawa|韓氏羅曼蕨
413|86|Woodwardia harlandii Hook.|哈氏狗脊蕨
