namecode|FullnameNoAuthors|accepted_namecode|tropicos_namecode|OutputHowMatched|family_with_authors|publication|collation|volume|issue|pages|OutputTitlePageYear|OutputYearPublished|OutputNomenclatureStatus|bhlink
715|Cymodoceaceae||42000335|FullnameNoAuthors|Cymodoceaceae Vines|Stud. Text-book Bot.|553|||553|1895||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:29716&volume=&issue=&spage=553&date=1895
720|Tectariaceae||42000427|FullnameNoAuthors|Tectariaceae Panigrahi|J. Orissa Bot. Soc.|8: 41|8||41|1986||Legitimate|
721|Juncaginaceae||42000329|FullnameNoAuthors|Juncaginaceae Rich.|Démonstr. Bot.|9|||9|1808||Legitimate|
722|Tetramelaceae||100353070|FullnameNoAuthors|Tetramelaceae Airy Shaw|Kew Bull.|18: 267|18||267|1965||Legitimate|
737|Morinaceae||100352917|FullnameNoAuthors|Morinaceae Raf.|Ann. Gén. Sci. Phys.|6: 88|6||88|1820||Legitimate|
102|Lycopodiaceae||42000401|FullnameNoAuthors|Lycopodiaceae P. Beauv. ex Mirb.|Hist. Nat. Vég.|4: 293|4||293|1802||No opinion|
113|Dicksoniaceae||42000424|FullnameNoAuthors|Dicksoniaceae M.R. Schomb.|Reis. Br.-Guiana|3: 1047|3||1047|1848|1849|No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:51509&volume=3&issue=&spage=1047&date=1848
120|Adiantaceae||42000426|FullnameNoAuthors|Adiantaceae Newman|Hist. Brit. Ferns|5|||5|1840||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:54705&volume=&issue=&spage=5&date=1840
121|Vittariaceae||42000413|FullnameNoAuthors|Vittariaceae Ching|Sunyatsenia|5(4): 210, 232|5|4|210|1940||No opinion|
131|Cheiropleuriaceae||42000453|FullnameNoAuthors|Cheiropleuriaceae Nakai|Bot. Mag. (Tokyo)|42(496): 210–213|42|496|210|1928||No opinion|
137|Azollaceae||42000392|FullnameNoAuthors|Azollaceae Wettst.|Handb. Syst. Bot.|2: 77|2||77|1903||No opinion|
201|Cycadaceae||42000445|FullnameNoAuthors|Cycadaceae Pers.|Syn. Pl.|2: 630|2||630|1807||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:638&volume=2&issue=&spage=630&date=1807
202|Ginkgoaceae||42000415|FullnameNoAuthors|Ginkgoaceae Engl.|Nat. Pflanzenfam.|1: 19|1||19|1897||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:4635&volume=1&issue=&spage=19&date=1897
203|Taxaceae||42000416|FullnameNoAuthors|Taxaceae Gray|Nat. Arr. Brit. Pl.|2: 222, 226|2||222|1822||No opinion|
204|Amentotaxaceae||100353310|FullnameNoAuthors|Amentotaxaceae Kudô & Yamam.|J. Soc. Trop. Agric.|3: 110|3||110|1931||No opinion|
205|Cephalotaxaceae||42000174|FullnameNoAuthors|Cephalotaxaceae Neger|Nadelhölzer|23, 30|||23|1907||No opinion|
208|Taxodiaceae||42000452|FullnameNoAuthors|Taxodiaceae Saporta|Ann. Sci. Nat., Bot., sér. 5,|4: 44|4||44|1865||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:5010&volume=4&issue=&spage=44&date=1865
209|Araucariaceae||42000458|FullnameNoAuthors|Araucariaceae Henkel & W. Hochst.|Syn. Nadelhölz.|17: 1|17||1|1865||No opinion|
210|Cupressaceae||42000418|FullnameNoAuthors|Cupressaceae Gray|Nat. Arr. Brit. Pl.|2: 222, 225|2||222|1822||No opinion|
301|Casuarinaceae||42000065|FullnameNoAuthors|Casuarinaceae R. Br.|Voy. Terra Austral.|2: 571|2||571|1814||No opinion|
303|Juglandaceae||42000058|FullnameNoAuthors|Juglandaceae DC. ex Perleb|Vers. Arzneikr. Pfl.|143|||143|1818||No opinion|
304|Salicaceae||42000133|FullnameNoAuthors|Salicaceae Mirb.|Elém. Physiol. Vég. Bot.|2: 905|2||905|1815||No opinion|
305|Betulaceae||42000064|FullnameNoAuthors|Betulaceae Gray|Nat. Arr. Brit. Pl.|2: 222, 243|2||222|1822||No opinion|
306|Fagaceae||42000062|FullnameNoAuthors|Fagaceae Dumort.|Anal. Fam. Pl.|11, 12|||11|1829||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:443&volume=&issue=&spage=11&date=1829
307|Ulmaceae||42000050|FullnameNoAuthors|Ulmaceae Mirb.|Elém. Physiol. Vég. Bot.|2: 905|2||905|1815||No opinion|
309|Cecropiaceae||42000053|FullnameNoAuthors|Cecropiaceae C.C. Berg|Taxon|27(1): 39–40|27|1|39|1978||No opinion|
310|Urticaceae||42000054|FullnameNoAuthors|Urticaceae Juss.|Gen. Pl.|400|||400|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=400&date=1789
312|Olacaceae||42000210|FullnameNoAuthors|Olacaceae R. Br.|Narr. Exped. Zaire|452|||452|1818||No opinion|
313|Santalaceae||42000212|FullnameNoAuthors|Santalaceae R. Br.|Prodr.|305|||305|1810||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:3678&volume=&issue=&spage=305&date=1810
314|Opiliaceae||42000211|FullnameNoAuthors|Opiliaceae Valeton|Crit. Overz. Olacin.|136|||136|1886||No opinion|
316|Balanophoraceae||42000217|FullnameNoAuthors|Balanophoraceae Rich.|Mém. Mus. Hist. Nat.|8: 429|8||429|1822||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:50067&volume=8&issue=&spage=429&date=1822
320|Molluginaceae||42000076|FullnameNoAuthors|Molluginaceae Bartl.|Beitr. Bot.|2: 158|2||158|1825||No opinion|
322|Portulacaceae||42000074|FullnameNoAuthors|Portulacaceae Juss.|Gen. Pl.|312|||312|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=312&date=1789
323|Basellaceae||42000075|FullnameNoAuthors|Basellaceae Raf.|Fl. Tellur.|3: 44|3||44|1837||No opinion|
325|Chenopodiaceae||42000072|FullnameNoAuthors|Chenopodiaceae Vent.|Tabl. Regn. Veg.|2: 253|2||253|1799||No opinion|
326|Amaranthaceae||42000073|FullnameNoAuthors|Amaranthaceae Juss.|Gen. Pl.|87–88|||87|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=87&date=1789
327|Cactaceae||42000071|FullnameNoAuthors|Cactaceae Juss.|Gen. Pl.|310|||310|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=310&date=1789
331|Schisandraceae||42000023|FullnameNoAuthors|Schisandraceae Blume|Fl. Javae|32–33: 3|32-33||3|1830||No opinion|
332|Illiciaceae||42000022|FullnameNoAuthors|Illiciaceae A.C. Sm.|Sargentia|7: 8|7||8|1947||No opinion|
334|Hernandiaceae||42000017|FullnameNoAuthors|Hernandiaceae Blume|Bijdr. Fl. Ned. Ind.|(11): 550||11|550|1825|1826|No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:395&volume=&issue=11&spage=550&date=1825
335|Trochodendraceae||42000040|FullnameNoAuthors|Trochodendraceae Eichler|Flora|48: 14|48||14|1865||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:64&volume=48&issue=&spage=14&date=1865
336|Ranunculaceae||42000029|FullnameNoAuthors|Ranunculaceae Juss.|Gen. Pl.|231|||231|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=231&date=1789
339|Menispermaceae||42000034|FullnameNoAuthors|Menispermaceae Juss.|Gen. Pl.|284–285|||284|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=284&date=1789
342|Cabombaceae||42000027|FullnameNoAuthors|Cabombaceae Rich. ex A. Rich.|Dict. Class. Hist. Nat.|2: 608|2||608|1822||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:33901&volume=2&issue=&spage=608&date=1822
343|Ceratophyllaceae||42000028|FullnameNoAuthors|Ceratophyllaceae Gray|Nat. Arr. Brit. Pl.|2: 395, 554|2||395|1822||No opinion|
345|Piperaceae||42000020|FullnameNoAuthors|Piperaceae Giseke|Prae. Ord. Nat. Pl.|123|||123|1792||No opinion|
346|Chloranthaceae||42000018|FullnameNoAuthors|Chloranthaceae R. Br. ex Sims|Bot. Mag.|48: sub pl. 2190|48||sub pl. 2190|1820||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:706&volume=48&issue=&spage=sub pl. 2190&date=1820
348|Rafflesiaceae||42000220|FullnameNoAuthors|Rafflesiaceae Dumort.|Anal. Fam. Pl.|13–14|||13|1829||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:443&volume=&issue=&spage=13&date=1829
349|Dilleniaceae||42000080|FullnameNoAuthors|Dilleniaceae Salisb.|Parad. Lond.|sub t. 73|||sub t. 73|1806|1807|No opinion|
351|Theaceae||42000087|FullnameNoAuthors|Theaceae Mirb.|Bot. Reg.|2: sub t. 112|2||sub t. 112|1816||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:382&volume=2&issue=&spage=sub t. 112&date=1816
353|Droseraceae||42000108|FullnameNoAuthors|Droseraceae Salisb.|Parad. Lond.|, ad t. 95||||1808||No opinion|
354|Papaveraceae||42000037|FullnameNoAuthors|Papaveraceae Juss.|Gen. Pl.|235–236|||235|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=235&date=1789
355|Fumariaceae||42000038|FullnameNoAuthors|Fumariaceae Marquis|Esq. Règne Vég.|50|||50|1820||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:60635&volume=&issue=&spage=50&date=1820
402|Platanaceae||42000043|FullnameNoAuthors|Platanaceae T. Lestib.|Botanogr. Élém.|526|||526|1826||No opinion|
405|Saxifragaceae||42000175|FullnameNoAuthors|Saxifragaceae Juss.|Gen. Pl.|308|||308|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=308&date=1789
406|Pittosporaceae||42000164|FullnameNoAuthors|Pittosporaceae R. Br.|Voy. Terra Austral.|2: 542|2||542|1814||No opinion|
408|Connaraceae||42000159|FullnameNoAuthors|Connaraceae R. Br.|Narr. Exped. Zaire|431|||431|1818||No opinion|
410|Oxalidaceae||42000267|FullnameNoAuthors|Oxalidaceae R. Br.|Narr. Exped. Zaire|433|||433|1818||No opinion|
411|Geraniaceae||42000268|FullnameNoAuthors|Geraniaceae Juss.|Gen. Pl.|268|||268|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=268&date=1789
414|Erythroxylaceae||42000240|FullnameNoAuthors|Erythroxylaceae Kunth|Nov. Gen. Sp. (quarto ed.)|5: 175|5||175|1822||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:640&volume=5&issue=&spage=175&date=1822
415|Euphorbiaceae||42000236|FullnameNoAuthors|Euphorbiaceae Juss.|Gen. Pl.|384–385|||384|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=384&date=1789
416|Daphniphyllaceae||42000046|FullnameNoAuthors|Daphniphyllaceae Müll. Arg.|Prodr.|16(1): 1|16|1|1|1869||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:286&volume=16&issue=1&spage=1&date=1869
417|Rutaceae||42000265|FullnameNoAuthors|Rutaceae Juss.|Gen. Pl.|296|||296|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=296&date=1789
418|Simaroubaceae||42000262|FullnameNoAuthors|Simaroubaceae DC.|Nouv. Bull. Sci. Soc. Philom. Paris|2: 209|2||209|1811||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:45848&volume=2&issue=&spage=209&date=1811
419|Burseraceae||42000259|FullnameNoAuthors|Burseraceae Kunth|Ann. Sci. Nat. (Paris)|2: 346|2||346|1824||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:6343&volume=2&issue=&spage=346&date=1824
424|Anacardiaceae||42000260|FullnameNoAuthors|Anacardiaceae R. Br.|Narr. Exped. Zaire|431|||431|1818||No opinion|
425|Aceraceae||42000258|FullnameNoAuthors|Aceraceae Juss.|Gen. Pl.|250|||250|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=250&date=1789
426|Sapindaceae||42000256|FullnameNoAuthors|Sapindaceae Juss.|Gen. Pl.|246|||246|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=246&date=1789
427|Bretschneideraceae||42000254|FullnameNoAuthors|Bretschneideraceae Engl. & Gilg|Syllabus (ed. 9 & 10)|218|||218|1924||No opinion|
428|Sabiaceae||42000036|FullnameNoAuthors|Sabiaceae Blume|Mus. Bot.|1: 368|1||368|1851||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:274&volume=1&issue=&spage=368&date=1851
429|Balsaminaceae||42000271|FullnameNoAuthors|Balsaminaceae A. Rich.|Dict. Class. Hist. Nat.|2: 173|2||173|1822||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:33901&volume=2&issue=&spage=173&date=1822
430|Aquifoliaceae||42000227|FullnameNoAuthors|Aquifoliaceae Bercht. & J. Presl|P?ir. Rostlin|2(110): 440, 438|2|110|440|1825||No opinion|
432|Staphyleaceae||42000252|FullnameNoAuthors|Staphyleaceae Martinov|Tekhno-Bot. Slovar.|598|||598|1820||No opinion|
434|Icacinaceae||42000228|FullnameNoAuthors|Icacinaceae Miers|Ann. Mag. Nat. Hist., ser. 2|8: 174|8||174|1851||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:15774&volume=8&issue=&spage=174&date=1851
435|Rhamnaceae||42000237|FullnameNoAuthors|Rhamnaceae Juss.|Gen. Pl.|376–377|||376|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=376&date=1789
438|Elaeocarpaceae||42000100|FullnameNoAuthors|Elaeocarpaceae Juss.|Essai Propr. Méd. Pl.|87|||87|1816||No opinion|
439|Tiliaceae||42000101|FullnameNoAuthors|Tiliaceae Juss.|Gen. Pl.|289|||289|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=289&date=1789
440|Malvaceae||42000104|FullnameNoAuthors|Malvaceae Juss.|Gen. Pl.|271|||271|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=271&date=1789
441|Bombacaceae||42000103|FullnameNoAuthors|Bombacaceae Kunth|Malvac., Buttner., Tiliac.|5|||5|1822||No opinion|
442|Sterculiaceae||42000102|FullnameNoAuthors|Sterculiaceae Vent.|Parad. Lond.|sub t. 69|||sub t. 69|1807||No opinion|
445|Flacourtiaceae||42000109|FullnameNoAuthors|Flacourtiaceae Rich. ex DC.|Prodr.|1: 255|1||255|1824||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:286&volume=1&issue=&spage=255&date=1824
447|Stachyuraceae||42000116|FullnameNoAuthors|Stachyuraceae J. Agardh|Theoria Syst. Pl.|152|||152|1858||No opinion|
448|Passifloraceae||42000124|FullnameNoAuthors|Passifloraceae Juss. ex Roussel|Fl. Calvados (ed. 2)|334|||334|1806||No opinion|
449|Bixaceae||42000111|FullnameNoAuthors|Bixaceae Kunth|Malvac., Buttner., Tiliac.|17|||17|1822||No opinion|
450|Tamaricaceae||42000118|FullnameNoAuthors|Tamaricaceae Link|Enum. Hort. Berol. Alt.|1: 291|1||291|1821||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:66&volume=1&issue=&spage=291&date=1821
451|Elatinaceae||42000096|FullnameNoAuthors|Elatinaceae Dumort.|Anal. Fam. Pl.|44, 49|||44|1829||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:443&volume=&issue=&spage=44&date=1829
457|Punicaceae||42000199|FullnameNoAuthors|Punicaceae Bercht. & J. Presl|P?ir. Rostlin|2(94): [378]|2|94|[378]|1825||No opinion|
