FullnameWithAuthors	FullnameNoAuthors	SourceID	OutputNameID	OutputHowMatched	OutputFullNameWithAuthors	OutputAbbreviatedTitle	OutputCollation	OutputVolume	OutputIssue	OutputPage	OutputTitlePageYear	OutputYearPublished	OutputNomenclatureStatus	OutputBHLLink	OutputBatchID
	Campsis	1469	40000206	FullnameNoAuthors	Campsis Lour.	Fl. Cochinch.	2: 358, 377	2		358	1790		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:560&volume=2&issue=&spage=358&date=1790	7067
	Catalpa	1470	40002602	FullnameNoAuthors	Catalpa Scop.	Intr. Hist. Nat.	170			170	1777		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:10827&volume=&issue=&spage=170&date=1777	7067
	Clytostoma	1471	40010717	FullnameNoAuthors	Clytostoma Miers ex Bureau	Adansonia	8: 353–354	8		353	1868		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:600&volume=8&issue=&spage=353&date=1868	7067
	Crescentia	1472	40016479	FullnameNoAuthors	Crescentia L.	Sp. Pl.	2: 626	2		626	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=626&date=1753	7067
	Jacaranda	1473	40032687	FullnameNoAuthors	Jacaranda Juss.	Gen. Pl.	138			138	1789		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=138&date=1789	7067
	Kigelia	1474	40035436	FullnameNoAuthors	Kigelia DC.	Biblioth. Universelle Geneve	ser. 2. 17: 135–136	ser. 2. 17		135	1838		No opinion		7067
	Oroxylum	1475	40033875	FullnameNoAuthors	Oroxylum Vent.	Dec. Gen. Nov.	8			8	1808		No opinion		7067
	Parmentiera	1476	40001953	FullnameNoAuthors	Parmentiera DC.	Biblioth. Universelle Geneve	ser. 2. 17: 135	ser. 2. 17		135	1838		Legitimate		7067
	Pyrostegia	1477	40021398	FullnameNoAuthors	Pyrostegia C. Presl	Abh. Königl. Böhm. Ges. Wiss., ser. 5,	3: 523	3		523	1845		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:79652&volume=3&issue=&spage=523&date=1845	7067
	Radermachia	1478	40022131	FullnameNoAuthors	Radermachia Thunb.	Kongl. Vetensk. Acad. Handl.	37: 251	37		251	1776		No opinion		7067
	Saritaea	1479	40030115	FullnameNoAuthors	Saritaea Dugand	Caldasia	3(13): 262–263	3	13	262	1945		No opinion		7067
	Tecomaria	1482	50169240	FullnameNoAuthors	Tecomaria Spach	Hist. Nat. Vég.	9: 137	9		137	1840		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:44839&volume=9&issue=&spage=137&date=1840	7067
	Adhatoda	1483	40032825	FullnameNoAuthors	Adhatoda Mill.	Gard. Dict. Abr. (ed. 4)					1754		No opinion		7067
	Aphelandra	1484	40017383	FullnameNoAuthors	Aphelandra R. Br.	Prodr.	475			475	1810		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:3678&volume=&issue=&spage=475&date=1810	7067
	Baphicacanthus	1487	40024635	FullnameNoAuthors	Baphicacanthus Bremek.	Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Tweede Sect.	41(1): 190	41	1	190	1944		No opinion		7067
	Barleria	1488	40024916	FullnameNoAuthors	Barleria L.	Sp. Pl.	2: 636	2		636	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=636&date=1753	7067
	Calliaspidia	1490	40034931	FullnameNoAuthors	Calliaspidia Bremek.	Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Tweede Sect.	45(2): 54	45	2	54	1948		No opinion		7067
	Crossandra	1492	40016826	FullnameNoAuthors	Crossandra Salisb.	Parad. Lond.	sub t. 12			sub t. 12	1805		No opinion		7067
	Eranthemum	1495	40004502	FullnameNoAuthors	Eranthemum L.	Sp. Pl.	1: 9	1		9	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=9&date=1753	7067
	Fittonia	1496	40009655	FullnameNoAuthors	Fittonia Coem.	J. Gén. Hort.	15: 185–186	15		185	1862-1865	1865	Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:15860&volume=15&issue=&spage=185&date=1862-1865	7067
	Gendarussa	1497	40013339	FullnameNoAuthors	Gendarussa Nees	Pl. Asiat. Rar.	3: 76, 103	3		76	1832		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:468&volume=3&issue=&spage=76&date=1832	7067
	Goldfussia	1498	40015811	FullnameNoAuthors	Goldfussia Nees	Pl. Asiat. Rar.	3: 75, 87	3		75	1832		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:468&volume=3&issue=&spage=75&date=1832	7067
	Hemiadelphis	1499	40023329	FullnameNoAuthors	Hemiadelphis Nees	Pl. Asiat. Rar.	3: 75, 80	3		75	1832		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:468&volume=3&issue=&spage=75&date=1832	7067
	Jacobinia	1503	40032783	FullnameNoAuthors	Jacobinia Moric.	Pl. Nouv. Amer.	156–159, pl. 92			156	1846	1847	Legitimate		7067
	Odontonema	1507	40030515	FullnameNoAuthors	Odontonema Nees	Linnaea	16(3): 300	16	3	300	1842		nom. cons.	http://www.biodiversitylibrary.org/openurl?pid=title:626&volume=16&issue=3&spage=300&date=1842	7067
	Parachampionella	1508	40000992	FullnameNoAuthors	Parachampionella Bremek.	Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Tweede Sect.	41(1): 151	41	1	151	1944		No opinion		7067
	Pseuderanthemum	1510	40017173	FullnameNoAuthors	Pseuderanthemum Radlk.	Sitzungsber. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. München	13(2): 282	13	2	282	1883		Legitimate		7067
	Rhinacanthus	1511	40024580	FullnameNoAuthors	Rhinacanthus Nees	Pl. Asiat. Rar.	3: 76, 108	3		76	1832		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:468&volume=3&issue=&spage=76&date=1832	7067
	Sanchezia	1513	40029238	FullnameNoAuthors	Sanchezia Ruiz & Pav.	Fl. Peruv. Prodr.	5, t. 32			5	1794		No opinion		7067
	Semnostachya	1514	40035256	FullnameNoAuthors	Semnostachya Bremek.	Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Tweede Sect.	41(1): 201	41	1	201	1944		No opinion		7067
	Phlogacanthus	1518	40006953	FullnameNoAuthors	Phlogacanthus Nees	Pl. Asiat. Rar.	3: 76, 99	3		76	1832		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:468&volume=3&issue=&spage=76&date=1832	7067
	Pteroptychia	1519	40019969	FullnameNoAuthors	Pteroptychia Bremek.	Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Tweede Sect.	41(1): 303	41	1	303	1944		No opinion		7067
	Andrographis	1520	40014053	FullnameNoAuthors	Andrographis Wall. ex Nees	Pl. Asiat. Rar.	3: 77, 116	3		77	1832		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:468&volume=3&issue=&spage=77&date=1832	7067
	Sesamum	1521	40035854	FullnameNoAuthors	Sesamum L.	Sp. Pl.	2: 634	2		634	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=634&date=1753	7067
	Achimenes	1522	40030446	FullnameNoAuthors	Achimenes Pers.	Syn. Pl.	2: 164	2		164	1806		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:638&volume=2&issue=&spage=164&date=1806	7067
	Boea	1524	40028652	FullnameNoAuthors	Boea Comm. ex Lam.	Encycl.	1: 401	1		401	1785		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:824&volume=1&issue=&spage=401&date=1785	7067
	Columnea	1526	40012567	FullnameNoAuthors	Columnea L.	Sp. Pl.	2: 638	2		638	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=638&date=1753	7067
	Episcia	1530	40004375	FullnameNoAuthors	Episcia Mart.	Nov. Gen. Sp. Pl.	3: 39	3		39	1829		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:450&volume=3&issue=&spage=39&date=1829	7067
	Nautilocalyx	1533	40025522	FullnameNoAuthors	Nautilocalyx Linden ex Hanst.	Linnaea	26: 181, 206–207	26		181	1853	1854	No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:626&volume=26&issue=&spage=181&date=1853	7067
	Saintpaulia	1536	40028594	FullnameNoAuthors	Saintpaulia H. Wendl.	Gartenflora	42: 321	42		321	1893		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:6769&volume=42&issue=&spage=321&date=1893	7067
	Sinningia	1537	40000575	FullnameNoAuthors	Sinningia Nees	Ann. Sci. Nat. (Paris)	6: 297	6		297	1825		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:6343&volume=6&issue=&spage=297&date=1825	7067
	Streptocarpus	1538	40006906	FullnameNoAuthors	Streptocarpus Lindl.	Sketch Veg. Swan R.	t. 1173				1828		No opinion		7067
	Oreocharis	1543	40033084	FullnameNoAuthors	Oreocharis Benth.	Gen. Pl.	2: 995, 1021	2		995	1876		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:747&volume=2&issue=&spage=995&date=1876	7067
	Metapetrocomea	1544													7067
	Abelia	1552	40002806	FullnameNoAuthors	Abelia R. Br.	Narr. Journey China	376			376	1818		Legitimate		7067
	Campanumoea	1562	40000051	FullnameNoAuthors	Campanumoea Blume	Bijdr. Fl. Ned. Ind.	726			726	1826		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:395&volume=&issue=&spage=726&date=1826	7067
