FullnameWithAuthors	FullnameNoAuthors	SourceID	OutputNameID	OutputHowMatched	OutputFullNameWithAuthors	OutputAbbreviatedTitle	OutputCollation	OutputVolume	OutputIssue	OutputPage	OutputTitlePageYear	OutputYearPublished	OutputNomenclatureStatus	OutputBHLLink	OutputBatchID
	Lycopodiella	4	40010248	FullnameNoAuthors	Lycopodiella Holub	Preslia	36: 20, 22	36		20	1964		Legitimate		7067
	Actinostachys	18	40031900	FullnameNoAuthors	Actinostachys Wall.	Numer. List	1			1	1829		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:1917&volume=&issue=&spage=1&date=1829	7067
	Sphaerocionium	36	40003121	FullnameNoAuthors	Sphaerocionium C. Presl	Hymenophyllaceae	33, t. 4, f. B, t. 10, f. B–C			33	1843		No opinion		7067
	Trichomanes	37	40017616	FullnameNoAuthors	Trichomanes L.	Sp. Pl.	2: 1097	2		1097	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=1097&date=1753	7067
	Crepidophylium	38													7067
	Alsophila	42	40010938	FullnameNoAuthors	Alsophila R. Br.	Prodr.	158			158	1810		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:3678&volume=&issue=&spage=158&date=1810	7067
	Sphaeropteris	43	40003223	FullnameNoAuthors	Sphaeropteris Bernh.	J. Bot. (Schrader)	1800(2): 122	1800	2	122	1801		Legitimate		7067
	Wicrolepia	51													7067
	Neurogramme	75													7067
	Monogramma	79	40022044	FullnameNoAuthors	Monogramma Comm. ex Schkuhr	Deutschl. Krypt. Gew.	1: 82	1		82	1809		Legitimate		7067
	Onoclea	81	40032044	FullnameNoAuthors	Onoclea L.	Sp. Pl.	2: 1062	2		1062	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=1062&date=1753	7067
	Blechnidium	87	40028083	FullnameNoAuthors	Blechnidium T. Moore	Brit. Ferns	2: 208–210	2		208	1860		Legitimate		7067
	Nothoperanema	108	40029099	FullnameNoAuthors	Nothoperanema (Tagawa) Ching	Acta Phytotax. Sin.	11(1): 25–26	11	1	25	1966		Legitimate		7067
	Rumohra	109	40027693	FullnameNoAuthors	Rumohra Raddi	Opusc. Sci.	3: 290	3		290	1819		Legitimate		7067
	Macrothelypteris	125	40011850	FullnameNoAuthors	Macrothelypteris (H. Itô) Ching	Acta Phytotax. Sin.	8(4): 308–309	8	4	308	1963		Legitimate		7067
	Christella	126	40008217	FullnameNoAuthors	Christella H. Lév.	Fl. Kouy-Tchéou	472			472	1915		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:448&volume=&issue=&spage=472&date=1915	7067
	Glaphyropteridopsis	127	40014664	FullnameNoAuthors	Glaphyropteridopsis Ching	Acta Phytotax. Sin.	8(4): 320	8	4	320	1963		Legitimate		7067
	Pseudocyclosorus	128	40017652	FullnameNoAuthors	Pseudocyclosorus Ching	Acta Phytotax. Sin.	8(4): 322–324	8	4	322	1963		Legitimate		7067
	Sphaerostephanos	129	40003286	FullnameNoAuthors	Sphaerostephanos J. Sm.	Gen. Fil. (Hooker)	, pl. 24				1842		No opinion		7067
	Pneumatopteris	130	40012300	FullnameNoAuthors	Pneumatopteris Nakai	Bot. Mag. (Tokyo)	47(555): 179	47	555	179	1933		No opinion		7067
	Dictyodroma	140	40030352	FullnameNoAuthors	Dictyodroma Ching	Acta Phytotax. Sin.	9(1): 57–58	9	1	57	1964		No opinion		7067
	Anisocampium	141	40014994	FullnameNoAuthors	Anisocampium C. Presl	Abh. Königl. Böhm. Ges. Wiss., ser. 5,	6: 418–419	6		418	1851		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:79652&volume=6&issue=&spage=418&date=1851	7067
	Pseudocystopteris	142	40017676	FullnameNoAuthors	Pseudocystopteris Ching	Acta Phytotax. Sin.	9(1): 76–77	9	1	76	1964		No opinion		7067
	Anisogonium	143	40015084	FullnameNoAuthors	Anisogonium C. Presl	Tent. Pterid.	115–116, pl. 4, f. 6, 13, 18			115	1836		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:630&volume=&issue=&spage=115&date=1836	7067
	Athyriopsis	144	40022308	FullnameNoAuthors	Athyriopsis Ching	Acta Phytotax. Sin.	9(1): 63–65	9	1	63	1964		No opinion		7067
	Monomelangium	145	40022092	FullnameNoAuthors	Monomelangium Hayata	Bot. Mag. (Tokyo)	42(499): 343–344	42	499	343	1928		No opinion		7067
	Phymatodes	167	40007947	FullnameNoAuthors	Phymatodes C. Presl	Tent. Pterid.	195–196, pl. 8, f. 9–12, 14–16, 18–20			195	1836		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:630&volume=&issue=&spage=195&date=1836	7067
	Selliguea	168	40035079	FullnameNoAuthors	Selliguea Bory	Dict. Class. Hist. Nat.	6: 587–588	6		587	1824		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:33901&volume=6&issue=&spage=587&date=1824	7067
	Hymenolepis	169	40029492	FullnameNoAuthors	Hymenolepis Cass.	Bull. Sci. Soc. Philom. Paris	1817: 138	1817		138	1817		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:44718&volume=1817&issue=&spage=138&date=1817	7067
	Goniophlebium	170	40016236	FullnameNoAuthors	Goniophlebium (Blume) C. Presl	Tent. Pterid.	185, pl. 7, f.13–14			185	1836		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:630&volume=&issue=&spage=185&date=1836	7067
	Lepidogrammitis	171	40004301	FullnameNoAuthors	Lepidogrammitis Ching	Sunyatsenia	5(4): 258	5	4	258	1940		No opinion		7067
	Phymatopteris	172	40007956	FullnameNoAuthors	Phymatopteris Pic. Serm.	Webbia	28(2): 460	28	2	460	1973		No opinion		7067
	Polypodiodes	173	40014214	FullnameNoAuthors	Polypodiodes Ching	Acta Phytotax. Sin.	16(4): 26–27	16	4	26	1978		Legitimate		7067
	Macrozamia	185	40011893	FullnameNoAuthors	Macrozamia Miq.	Monogr. Cycad.	35			35	1842		No opinion		7067
	Zamia	186	40028101	FullnameNoAuthors	Zamia L.	Sp. Pl. (ed. 2)	2: 1659	2		1659	1763		nom. cons.	http://www.biodiversitylibrary.org/openurl?pid=title:11179&volume=2&issue=&spage=1659&date=1763	7067
	Ginkgo	187	40014409	FullnameNoAuthors	Ginkgo L.	Mant. Pl.	2: 313	2		313	1771		Legitimate		7067
	Pseudotaxus	188	40018611	FullnameNoAuthors	Pseudotaxus W.C. Cheng	Res. Notes Forest. Inst. Natl. Centr. Univ. Nanking, Dendrol. Ser.	1: 1	1		1	1947		No opinion		7067
	Torreya	190	40015576	FullnameNoAuthors	Torreya Arn.	Ann. Nat. Hist.	1: 130–132	1		130	1838		nom. cons.	http://www.biodiversitylibrary.org/openurl?pid=title:4227&volume=1&issue=&spage=130&date=1838	7067
	Decussocarpus	195													7067
	Cedrus	197	40003345	FullnameNoAuthors	Cedrus Trew	Cedr. Lib. Hist.	6			6	1757		Legitimate		7067
	Larix	199	40002025	FullnameNoAuthors	Larix Mill.	Gard. Dict. Abr. (ed. 4)	vol. 2			vol. 2	1754		No opinion		7067
	Pseudolarix	202	40017958	FullnameNoAuthors	Pseudolarix Gordon	Pinetum	292			292	1858		nom. cons.		7067
	Glyptostrobus	207	40015546	FullnameNoAuthors	Glyptostrobus Endl.	Syn. Conif.	69			69	1847		No opinion		7067
	Sciadopitys	209	40033268	FullnameNoAuthors	Sciadopitys Siebold & Zucc.	Fl. Jap.	2(1): 1	2	1	1	1842		No opinion		7067
	Sequoia	210	40035464	FullnameNoAuthors	Sequoia Endl.	Syn. Conif.	197			197	1847		nom. cons.		7067
	Sequoiadendron	211	40035470	FullnameNoAuthors	Sequoiadendron J. Buchholz	Amer. J. Bot.	26: 536	26		536	1939		nom. cons.		7067
	Callitris	216	40035250	FullnameNoAuthors	Callitris Vent.	Dec. Gen. Nov.	10			10	1808		No opinion		7067
	Cupressus	219	40018366	FullnameNoAuthors	Cupressus L.	Sp. Pl.	2: 1002	2		1002	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=1002&date=1753	7067
	Fokienia	220	40010080	FullnameNoAuthors	Fokienia A. Henry & H.H. Thomas	Gard. Chron., ser. 3	49: 67	49		67	1911		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:48390&volume=49&issue=&spage=67&date=1911	7067
	Thujopsis	223	40013884	FullnameNoAuthors	Thujopsis Siebold & Zucc. ex Endl.	Gen. Pl.	2: 24	2		24	1842		nom. cons.	http://www.biodiversitylibrary.org/openurl?pid=title:442&volume=2&issue=&spage=24&date=1842	7067
	Carya	226	40002070	FullnameNoAuthors	Carya Nutt.	Gen. N. Amer. Pl.	2: 220	2		220	1818		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:290&volume=2&issue=&spage=220&date=1818	7067
	Pterocarya	230	40019606	FullnameNoAuthors	Pterocarya Kunth	Ann. Sci. Nat. (Paris)	2: 345	2		345	1824		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:6343&volume=2&issue=&spage=345&date=1824	7067
	Rhamphocarya	231	40024286	FullnameNoAuthors	Rhamphocarya Kuang	Iconogr. Fl. Sin.	1(1): 1	1	1	1	1941		No opinion		7067
	Populus	232	40014915	FullnameNoAuthors	Populus L.	Sp. Pl.	2: 1034	2		1034	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=1034&date=1753	7067
	Betula	235	40027085	FullnameNoAuthors	Betula L.	Sp. Pl.	2: 982	2		982	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=982&date=1753	7067
	Cannabis	253	40000735	FullnameNoAuthors	Cannabis L.	Sp. Pl.	2: 1027	2		1027	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=1027&date=1753	7067
	Castillosa	254													7067
	Cudrania	261	40017981	FullnameNoAuthors	Cudrania Trécul	Ann. Sci. Nat., Bot., sér. 3,	8: 122	8		122	1847		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:5010&volume=8&issue=&spage=122&date=1847	7067
	Fleurya	284	40009851	FullnameNoAuthors	Fleurya Gaudich.	Voy. Uranie	497			497	1826		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:15862&volume=&issue=&spage=497&date=1826	7067
	Villebrunea	285	40024354	FullnameNoAuthors	Villebrunea Gaudich. ex Wedd.	Ann. Sci. Nat., Bot., sér. 4,	1: 195	1		195	1854		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:5010&volume=1&issue=&spage=195&date=1854	7067
	Macadamia	288	40010787	FullnameNoAuthors	Macadamia F. Muell.	Trans. Philos. Inst. Victoria	2: 72	2		72	1857		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:63301&volume=2&issue=&spage=72&date=1857	7067
	Santalum	291	40029399	FullnameNoAuthors	Santalum L.	Sp. Pl.	1: 349	1		349	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=349&date=1753	7067
	Bifaria	299	40027292	FullnameNoAuthors	Bifaria Tiegh.	Bull. Soc. Bot. France	43: 164–179	43		164	1896		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:359&volume=43&issue=&spage=164&date=1896	7067
	Hyphear	300	40029834	FullnameNoAuthors	Hyphear Danser	Bull. Jard. Bot. Buitenzorg, sér. 3,	10: 292, 319	10		292	1929		No opinion		7067
	Mistletoe	301													7067
	Aspidixia	302	40020972	FullnameNoAuthors	Aspidixia Tiegh.	Bull. Soc. Bot. France	43: 191–192	43		191	1896		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:359&volume=43&issue=&spage=191&date=1896	7067
	Coccoloba	305	40010973	FullnameNoAuthors	Coccoloba P. Browne	Civ. Nat. Hist. Jamaica	209–210			209	1756		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:10826&volume=&issue=&spage=209&date=1756	7067
	Muehlenbeckia	307	40023410	FullnameNoAuthors	Muehlenbeckia Meisn.	Pl. Vasc. Gen.	1: 316; 2: 227	1		316; 2: 227	1841		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:44043&volume=1&issue=&spage=316; 2: 227&date=1841	7067
	Antenoron	311	40015893	FullnameNoAuthors	Antenoron Raf.	Fl. Ludov.	28			28	1817		No opinion		7067
	Rivinia	313													7067
	Argyroderma	320	40019255	FullnameNoAuthors	Argyroderma N.E. Br.	Gard. Chron., ser. 3	71: 92	71		92	1922		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:48390&volume=71&issue=&spage=92&date=1922	7067
	Bergeranthus	321	40026735	FullnameNoAuthors	Bergeranthus Schwantes	Z. Sukkulentenk.	2: 179	2		179	1926		No opinion		7067
	Conophyllum	322	40013441	FullnameNoAuthors	Conophyllum Schwantes	Z. Sukkulentenk.	3: 321	3		321	1928		No opinion		7067
	Conophytum	323	40013447	FullnameNoAuthors	Conophytum N.E. Br.	Gard. Chron.	ser. 3. 71: 19	ser. 3. 71		19	1922		No opinion		7067
	Delosperma	324	40023197	FullnameNoAuthors	Delosperma N.E. Br.	Gard. Chron., ser. 3	78: 412	78		412	1925		No opinion		7067
	Dorotheanthus	325	40035231	FullnameNoAuthors	Dorotheanthus Schwantes	Möller's Deutsche Gärtn.-Zeitung	42: 283	42		283	1927		No opinion		7067
	Erepsia	326	40004852	FullnameNoAuthors	Erepsia N.E. Br.	Gard. Chron., ser. 3	78: 433	78		433	1925		No opinion		7067
	Faucaria	327	40008693	FullnameNoAuthors	Faucaria Schwantes	Z. Sukkulentenk.	2: 176	2		176	1926		No opinion		7067
	Gibbaeum	328	100343100	FullnameNoAuthors	Gibbaeum Haw. ex N.E. Br.	Gard. Chron., ser. 3	78: 413	78		413	1922		No opinion		7067
	Glottiphyllum	329	40015307	FullnameNoAuthors	Glottiphyllum Haw.	Saxifrag. Enum.	105			105	1821		No opinion		7067
	Hereroa	330	40024265	FullnameNoAuthors	Hereroa (Schwantes) Dinter & Schwantes	Z. Sukkulentenk.	3: 15, 23	3		15	1927		No opinion		7067
	Lampranthus	331	40001573	FullnameNoAuthors	Lampranthus N.E. Br.	Gard. Chron.	87: 71 211	87		71 211	1930		Legitimate		7067
	Mesembryanthemum	332	40017641	FullnameNoAuthors	Mesembryanthemum L.	Sp. Pl.	1: 480	1		480	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=480&date=1753	7067
	Nycteranthus	333	40029561	FullnameNoAuthors	Nycteranthus Neck. ex Rothm.	Notizbl. Bot. Gart. Berlin–Dahlem	413			413	1941		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:41365&volume=&issue=&spage=413&date=1941	7067
	Pleiospilos	334	40011341	FullnameNoAuthors	Pleiospilos N.E. Br.	Gard. Chron., ser. 3	78: 433	78		433	1925		No opinion		7067
	Trianthemum	337													7067
	Anacampseros	338	40012995	FullnameNoAuthors	Anacampseros L.	Opera Var.	232			232	1758		Legitimate		7067
	Rhinephyllum	341	40024620	FullnameNoAuthors	Rhinephyllum N.E. Br.	Gard. Chron., ser. 3	82: 92	82		92	1927		No opinion		7067
	Gypsophila	350	40019429	FullnameNoAuthors	Gypsophila L.	Sp. Pl.	1: 406	1		406	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=406&date=1753	7067
	Lychnis	351													7067
	Saponaria	354	40029476	FullnameNoAuthors	Saponaria L.	Sp. Pl.	1: 408	1		408	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=408&date=1753	7067
	Titanopsis	357	40014906	FullnameNoAuthors	Titanopsis Schwantes	Z. Sukkulentenk.	2: 178	2		178	1926		No opinion		7067
	Vaccaria	358	40022417	FullnameNoAuthors	Vaccaria Wolf	Gen. Pl.	3			3	1776		Legitimate		7067
	Beta	361	40027050	FullnameNoAuthors	Beta L.	Sp. Pl.	1: 222	1		222	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=222&date=1753	7067
	Kochia	363	40035971	FullnameNoAuthors	Kochia Roth	J. Bot. (Schrader)	1800(1): 307	1800	1	307	1801		No opinion		7067
	Spinacia	364	40003629	FullnameNoAuthors	Spinacia L.	Sp. Pl.	2: 1027	2		1027	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=1027&date=1753	7067
	Telanthera	376	40010711	FullnameNoAuthors	Telanthera R. Br.	Narr. Exped. Zaire	477			477	1818		No opinion		7067
	Acanthocereus	377	40003238	FullnameNoAuthors	Acanthocereus (Engelm. ex A. Berger) Britton & Rose	Contr. U.S. Natl. Herb.	12(10): 432	12	10	432	1909		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:687&volume=12&issue=10&spage=432&date=1909	7067
	Aporocactus	378	40017967	FullnameNoAuthors	Aporocactus Lem.	Ill. Hort.	7: Misc. 67–68	7		Misc. 67	1860		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:131&volume=7&issue=&spage=Misc. 67&date=1860	7067
	Astrophytum	379	40021866	FullnameNoAuthors	Astrophytum Lem.	Cact. Gen. Sp. Nov.	3			3	1839		No opinion		7067
	Austrocylindropuntia	380	40023101	FullnameNoAuthors	Austrocylindropuntia Backeb.	Blätt. Kakteenf.	1938(6): [3, 21]	1938	6	[3, 21]	1938		No opinion		7067
	Aztekium	381	40023629	FullnameNoAuthors	Aztekium Boed.	Monatsschr. Deutsch. Kakteen-Ges.	1: 52	1		52	1929		No opinion		7067
	Brasilicactus	382	40031073	FullnameNoAuthors	Brasilicactus Backeb.	Cactaceae (Berlin)	2: 76	2		76	1942		Legitimate		7067
	Carnegiea	383	40001618	FullnameNoAuthors	Carnegiea Britton & Rose	J. New York Bot. Gard.	9(107): 187–188	9	107	187	1908		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:44898&volume=9&issue=107&spage=187&date=1908	7067
	Cephalocereus	384	40003967	FullnameNoAuthors	Cephalocereus Pfeiff.	Allg. Gartenzeitung	6(18): 142	6	18	142	1838		No opinion	http://biodiversitylibrary.org/page/14899707#page/143/mode/1up 	7067
	Chamaecereus	386	40005487	FullnameNoAuthors	Chamaecereus Britton & Rose	Cact.	3: 48	3		48	1922		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:46288&volume=3&issue=&spage=48&date=1922	7067
	Cleistocactus	387	40010021	FullnameNoAuthors	Cleistocactus Lem.	Ill. Hort.	8: Misc. 35	8		Misc. 35	1861		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:131&volume=8&issue=&spage=Misc. 35&date=1861	7067
	Copiapoa	388	40013797	FullnameNoAuthors	Copiapoa Britton & Rose	Cact.	3: 85	3		85	1922		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:46288&volume=3&issue=&spage=85&date=1922	7067
	Corynopuntia	389	40014870	FullnameNoAuthors	Corynopuntia F.M. Knuth	Kaktus-ABC	114, 410				1935		No opinion		7067
	Coryphantha	390	40014907	FullnameNoAuthors	Coryphantha (Engelm.) Lem.	Cactées	32			32	1868		No opinion		7067
	Dolichothele	391	40034733	FullnameNoAuthors	Dolichothele (K. Schum.) Britton & Rose	Cact.	4: 61	4		61	1923		No opinion	http://biodiversitylibrary.org/page/32131073 	7067
	Echinocactus	392	40000842	FullnameNoAuthors	Echinocactus Link & Otto	Verh. Vereins. Beförd. Gartenbaues Königl. Preuss. Staaten	3: 420	3		420	1827		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:3668&volume=3&issue=&spage=420&date=1827	7067
	Echinocereus	393	40000878	FullnameNoAuthors	Echinocereus Engelm.	Mem. Tour N. Mexico	91			91	1848		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:41509&volume=&issue=&spage=91&date=1848	7067
	Echinofossulocactus	394	40000928	FullnameNoAuthors	Echinofossulocactus Lawr.	Gard. Mag. & Reg. Rural Domest. Improv.	17: 317	17		317	1841		No opinion		7067
	Echinomastus	395	40000958	FullnameNoAuthors	Echinomastus Britton & Rose	Cact.	3: 147–148	3		147	1922		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:46288&volume=3&issue=&spage=147&date=1922	7067
	Echinopsis	396	40001007	FullnameNoAuthors	Echinopsis Zucc.	Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss.	2: 675	2		675	1837		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:10920&volume=2&issue=&spage=675&date=1837	7067
	Epixochia	398	40004457	FullnameNoAuthors	Epixochia Rowley in Backeberg	Cactaceae Handb. Kakteen.	6: 3556	6		3556	1962		No opinion		7067
	Eriocactus	399	40005117	FullnameNoAuthors	Eriocactus Backeb.	Cactaceae (Berlin)	1941(2): 37	1941	2	37	1942		Legitimate		7067
	Espostoa	400	40006303	FullnameNoAuthors	Espostoa Britton & Rose	Cact.	2: 60	2		60	1920		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:46288&volume=2&issue=&spage=60&date=1920	7067
	Ferocactus	401	40009043	FullnameNoAuthors	Ferocactus Britton & Rose	Cact.	3: 123	3		123	1922		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:46288&volume=3&issue=&spage=123&date=1922	7067
	Frailea	402													7067
	Grusonia	403	100437587	FullnameNoAuthors	Grusonia Rchb. f. ex Britton & Rose	Cact.	1: 215	1		215	1919		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:46288&volume=1&issue=&spage=215&date=1919	7067
	Gymnocalycium	404	100346256	FullnameNoAuthors	Gymnocalycium Pfeiff. ex Mittler	Taschenb. Cactusliebhaber	2: 124	2		124	1844		Legitimate		7067
	Haageocereus	405	40019597	FullnameNoAuthors	Haageocereus Backeb.	Cact. J. (Croydon)	1: 52	1		52	1933		No opinion		7067
	Hamatocactus	406	40020557	FullnameNoAuthors	Hamatocactus Britton & Rose	Cact.	3: 104	3		104	1922		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:46288&volume=3&issue=&spage=104&date=1922	7067
	Hatiora	407	40021686	FullnameNoAuthors	Hatiora Britton & Rose	Stand. Cycl. Hort.	1432			1432	1915		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:23351&volume=&issue=&spage=1432&date=1915	7067
	Homalocephala	408	40027100	FullnameNoAuthors	Homalocephala Britton & Rose	Cact.	3: 181	3		181	1922		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:46288&volume=3&issue=&spage=181&date=1922	7067
	Krainzia	410	40000076	FullnameNoAuthors	Krainzia Backeb.	Blätt. Kakteenf.	1938(6): [11, 22]	1938	6	[11, 22]	1938		No opinion		7067
	Lemaireocereus	411	40003653	FullnameNoAuthors	Lemaireocereus Britton & Rose	Contr. U.S. Natl. Herb.	12(10): 424	12	10	424	1909		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:687&volume=12&issue=10&spage=424&date=1909	7067
	Leuchtenbergia	412	40005712	FullnameNoAuthors	Leuchtenbergia Hook.	Bot. Mag.	74: , pl. 4393	74			1848		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:706&volume=74&issue=&spage=&date=1848	7067
	Lobivia	413	40008053	FullnameNoAuthors	Lobivia Britton & Rose	Cact.	3: 49	3		49	1922		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:46288&volume=3&issue=&spage=49&date=1922	7067
	Lophophora	414	40008773	FullnameNoAuthors	Lophophora J.M. Coult.	Contr. U.S. Natl. Herb.	3(2): 131–132	3	2	131	1894		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:687&volume=3&issue=2&spage=131&date=1894	7067
	Mammillaria	415	40013021	FullnameNoAuthors	Mammillaria Haw.	Syn. Pl. Succ.	177–178			177	1812		nom. cons.	http://www.biodiversitylibrary.org/openurl?pid=title:9462&volume=&issue=&spage=177&date=1812	7067
	Marginatocereus	416	40013861	FullnameNoAuthors	Marginatocereus Backeb.	Cactaceae (Berlin)	1941(2): 49, 77	1941	2	49	1942		No opinion		7067
	Mediolobivia	417	40015487	FullnameNoAuthors	Mediolobivia Backeb.	Blätt. Kakteenf.	2: [3]	2		[3]	1934		No opinion		7067
	Myrtillocactus	418	40024705	FullnameNoAuthors	Myrtillocactus Console	Boll. Reale Orto Bot. Palermo	1: 8	1		8	1897		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:61036&volume=1&issue=&spage=8&date=1897	7067
	Neobuxbaumia	419	40026461	FullnameNoAuthors	Neobuxbaumia Backeb.	Blätt. Kakteenf.	1938(6): n. 20	1938	6	n. 20	1938		No opinion		7067
	Neochilenia	420	40026525	FullnameNoAuthors	Neochilenia Backeb.	Cactaceae (Berlin)	1941(2): 39, 76	1941	2	39	1942		No opinion		7067
	Neolloydia	421	40026865	FullnameNoAuthors	Neolloydia Britton & Rose	Bull. Torrey Bot. Club	49(8): 251–252	49	8	251	1922		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:340&volume=49&issue=8&spage=251&date=1922	7067
	Nopalea	422	40028819	FullnameNoAuthors	Nopalea Salm-Dyck	Cact. Hort. Dyck. (1849)	63–64, 233			63	1849	1850	No opinion		7067
	Nopalxochia	423	40028824	FullnameNoAuthors	Nopalxochia Britton & Rose	Cact.	4: 204	4		204	1923		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:46288&volume=4&issue=&spage=204&date=1923	7067
	Notocactus	424	100363008	FullnameNoAuthors	Notocactus (K. Schum.) Fri?	Cacti Price-List	1928: [3]	1928		[3]	1928		Legitimate		7067
	Nyctocereus	425	40029607	FullnameNoAuthors	Nyctocereus (A. Berger) Britton & Rose	Contr. U.S. Natl. Herb.	12: 423	12		423	1909		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:687&volume=12&issue=&spage=423&date=1909	7067
	Oreocereus	427	40033079	FullnameNoAuthors	Oreocereus (A. Berger) Riccob.	Boll. Reale Orto Bot. Palermo	8: 258	8		258	1909		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:61036&volume=8&issue=&spage=258&date=1909	7067
	Pachycereus	428	40035761	FullnameNoAuthors	Pachycereus (A. Berger) Britton & Rose	Contr. U.S. Natl. Herb.	12(10): 420	12	10	420	1909		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:687&volume=12&issue=10&spage=420&date=1909	7067
	Pelecyphora	429	40003147	FullnameNoAuthors	Pelecyphora Ehrenb.	Bot. Zeitung (Berlin)	1: 737	1		737	1843		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:4948&volume=1&issue=&spage=737&date=1843	7067
	Peniocereus	430	40003482	FullnameNoAuthors	Peniocereus (A. Berger) Britton & Rose	Contr. U.S. Natl. Herb.	12(10): 428	12	10	428	1909		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:687&volume=12&issue=10&spage=428&date=1909	7067
	Pereskia	431	40004372	FullnameNoAuthors	Pereskia Mill.	Gard. Dict. Abr. (ed. 4)	3:	3			1754		Legitimate		7067
	Pilosocereus	432	40008894	FullnameNoAuthors	Pilosocereus Byles & G.D. Rowley	Cact. Succ. J. Gr. Brit.	19(3): 66	19	3	66	1957		No opinion		7067
	Polaskia	433	40013376	FullnameNoAuthors	Polaskia Backeb.	Blatt. Sukkulentenk.	1: 4	1		4	1949		No opinion		7067
	Pseudoespostoa	434	40017791	FullnameNoAuthors	Pseudoespostoa Backeb.	Cact. J. (Croydon)	1: 52	1		52	1933		No opinion		7067
	Pseudolobivia	435	40018003	FullnameNoAuthors	Pseudolobivia Backeb.	Cactaceae (Berlin)	1941(2): 31, 76	1941	2	31	1942		No opinion		7067
