id,hast_family_id,ptype,family,family_zh,family_apgiv,family_apgiv_zh
175,501,3,Diapensiaceae,岩梅科,Diapensiaceae,岩梅科
176,502,3,Pyrolaceae,鹿蹄草科,,
177,503,3,Ericaceae,杜鵑花科,Ericaceae,歐石楠科
178,504,3,Myrsinaceae,紫金牛科,,
179,505,3,Primulaceae,報春花科,Primulaceae,櫻草科
180,506,3,Plumbaginaceae,藍雪科,Plumbaginaceae,藍雪科
181,507,3,Sapotaceae,山欖科,Sapotaceae,山欖科
182,508,3,Ebenaceae,柿樹科,Ebenaceae,柿樹科
183,509,3,Styracaceae,安息香科,Styracaceae,安息香科
184,510,3,Symplocaceae,灰木科,Symplocaceae,灰木科
185,511,3,Oleaceae,木犀科,Oleaceae,木犀科
186,512,3,Loganiaceae,馬錢科,Loganiaceae,馬錢科
187,513,3,Gentianaceae,龍膽科,Gentianaceae,龍膽科
188,514,3,Apocynaceae,夾竹桃科,Apocynaceae,夾竹桃科
189,515,3,Asclepiadaceae,蘿藦科,,
190,516,3,Rubiaceae,茜草科,Rubiaceae,茜草科
191,517,3,Polemoniaceae,花蔥科,Polemoniaceae,花蔥科
192,518,3,Convolvulaceae,旋花科,Convolvulaceae,旋花科
193,519,3,Hydrophyllaceae,田亞麻科,Hydrophyllaceae,水葉草科
194,520,3,Boraginaceae,紫草科,Boraginaceae,紫草科
195,521,3,Verbenaceae,馬鞭草科,Verbenaceae,馬鞭草科
196,522,3,Callitrichaceae,水馬齒科,,
197,523,3,Lamiaceae,唇形科,Lamiaceae,唇形科
198,524,3,Solanaceae,茄科,Solanaceae,茄科
199,525,3,Scrophulariaceae,玄參科,Scrophulariaceae,玄參科
200,526,3,Bignoniaceae,紫葳科,Bignoniaceae,紫葳科
201,527,3,Acanthaceae,爵床科,Acanthaceae,爵床科
202,528,3,Pedaliaceae,胡麻科,Pedaliaceae,胡麻科
203,529,3,Gesneriaceae,苦苣苔科,Gesneriaceae,苦苣苔科
204,530,3,Orobanchaceae,列當科,Orobanchaceae,列當科
205,531,3,Lentibulariaceae,狸藻科,Lentibulariaceae,狸藻科
206,532,3,Myoporaceae,苦藍盤科,,
207,533,3,Plantaginaceae,車前科,Plantaginaceae,車前科
208,534,3,Caprifoliaceae,忍冬科,Caprifoliaceae,忍冬科
209,535,3,Valerianaceae,敗醬科,,
210,536,3,Dipsacaceae,續斷科,,
211,537,3,Campanulaceae,桔梗科,Campanulaceae,桔梗科
212,538,3,Goodeniaceae,草海桐科,Goodeniaceae,草海桐科
213,539,3,Asteraceae,菊科,Asteraceae,菊科
214,540,3,Sphenocleaceae,密穗桔梗科,Sphenocleaceae,尖瓣花科
215,541,3,Menyanthaceae,睡菜科,Menyanthaceae,睡菜科
216,601,3,Alismataceae,澤瀉科,Alismataceae,澤瀉科
217,602,3,Butomaceae,花藺科(蓩芍根科),Butomaceae,花藺科
218,603,3,Hydrocharitaceae,水虌科,Hydrocharitaceae,水鱉科
219,604,3,Aponogetonaceae,水蕹科,Aponogetonaceae,水蕹科
220,605,3,Potamogetonaceae,眼子菜科,Potamogetonaceae,眼子菜科
221,606,3,Ruppiaceae,流蘇菜科,Ruppiaceae,流蘇菜科
222,607,3,Zannichelliaceae,角果藻科,,
223,608,3,Zosteraceae,甘藻科,Zosteraceae,甘藻科
224,609,3,Najadaceae,茨藻科,,
225,610,3,Liliaceae,百合科,Liliaceae,百合科
226,611,3,Stemonaceae,百部科,Stemonaceae,百部科
227,612,3,Agavaceae,龍舌蘭科,,
228,613,3,Amaryllidaceae,石蒜科,Amaryllidaceae,石蒜科
229,614,3,Hypoxidaceae,仙茅科,Hypoxidaceae,仙茅科
230,615,3,Dioscoreaceae,薯蕷科,Dioscoreaceae,薯蕷科
231,616,3,Smilacaceae,菝葜科,Smilacaceae,菝葜科
232,617,3,Pontederiaceae,雨久花科,Pontederiaceae,雨久花科
233,618,3,Iridaceae,鳶尾科,Iridaceae,鳶尾科
234,619,3,Burmanniaceae,水玉簪科,Burmanniaceae,水玉簪科
235,620,3,Philydraceae,田蔥科,Philydraceae,田蔥科
236,621,3,Juncaceae,燈心草科,Juncaceae,燈心草科
237,622,3,Commelinaceae,鴨跖草科,Commelinaceae,鴨跖草科
238,623,3,Xyridaceae,芴草科,Xyridaceae,蔥草科
239,624,3,Eriocaulaceae,穀精草科,Eriocaulaceae,穀精草科
240,625,3,Bromeliaceae,鳳梨科,Bromeliaceae,鳳梨科
241,626,3,Flagellariaceae,鬚葉藤(鞭藤)科,Flagellariaceae,鞭藤科
242,627,3,Cyperaceae,莎草科,Cyperaceae,莎草科
243,628,3,Poaceae,禾本科,Poaceae,禾本科
244,629,3,Arecaceae,棕櫚科,Arecaceae,棕櫚科
245,630,3,Cyclanthaceae,巴拿馬草科,Cyclanthaceae,巴拿馬草科
246,631,3,Taccaceae,蛛絲草科,,
247,632,3,Araceae,天南星科,Araceae,天南星科
248,633,3,Lemnaceae,浮萍科,,
249,634,3,Pandanaceae,露兜樹科,Pandanaceae,露兜樹科
250,635,3,Sparganiaceae,黑三稜科,,
251,636,3,Typhaceae,香蒲科,Typhaceae,香蒲科
252,637,3,Musaceae,芭蕉科,Musaceae,芭蕉科
253,638,3,Strelitziaceae,旅人蕉科,Strelitziaceae,旅人蕉科
254,639,3,Zingiberaceae,薑科,Zingiberaceae,薑科
255,640,3,Cannaceae,曇花(美人蕉)科,Cannaceae,美人蕉科
256,641,3,Marantaceae,竹芋科,Marantaceae,竹芋科
257,642,3,Orchidaceae,蘭科,Orchidaceae,蘭科
258,643,3,Petrosaviaceae,櫻井草科,Petrosaviaceae,無葉蓮科
259,644,3,Triuridaceae,霉草科,Triuridaceae,霉草科
260,700,3,Pentaphragmataceae,五膜草科,Pentaphragmataceae,五膜草科
261,701,3,Cardiopteridaceae,心翼果科,Cardiopteridaceae,心翼果科
262,702,2,Gnetaceae,買麻藤科,,
263,703,3,Nepenthaceae,豬籠草科,Nepenthaceae,豬籠草科
264,704,3,Linaceae,亞麻科,Linaceae,亞麻科
265,705,3,Gunneraceae,洋二仙草科,Gunneraceae,大葉草科
266,706,3,Dipterocarpaceae,龍腦香科,Dipterocarpaceae,龍腦香科
267,707,3,Phrymaceae,蠅毒草科,Phrymaceae,透骨草科
268,708,3,Sonneratiaceae,海桑科,,
269,709,3,Cannabaceae,大麻科,Cannabaceae,大麻科
270,710,3,Stylidiaceae,花柱草科,Stylidiaceae,花柱草科
271,711,3,Ephedraceae,麻黃科,,
272,712,3,Alstroemeriaceae,百合水仙科,Alstroemeriaceae,扭柄葉科
273,713,3,Anthericaceae,吊蘭科,,
274,714,3,Adoxaceae,五福花科,Adoxaceae,五福花科
275,715,3,Cymodoceaceae,絲粉藻科,Cymodoceaceae,絲粉藻科
276,716,3,Ancistrocladaceae,鉤枝藤科,Ancistrocladaceae,鉤枝藤科
277,717,3,Anisophylleaceae,四柱木科,Anisophylleaceae,異葉木科
278,718,3,Pentaphylacaceae,五列木科,Pentaphylacaceae,五列木科
279,719,3,Haemodoraceae,血皮草科,Haemodoraceae,血草科
280,720,1,Tectariaceae,叉蕨科,,
281,721,3,Juncaginaceae,水麥冬科,Juncaginaceae,水麥冬科
282,722,3,Tetramelaceae,四數木科,Tetramelaceae,四數木科
283,723,3,Nartheciaceae,纳茜菜科,Nartheciaceae,蒟蒻薯科
284,724,3,Paeoniaceae,芍藥科,Paeoniaceae,芍藥科
285,725,3,Rhoipteleaceae,馬尾樹科,,
286,726,3,Pandaceae,小盤木科,Pandaceae,簫科
287,727,3,Cynomoriaceae,鎖陽科,Cynomoriaceae,鎖陽科
288,728,3,Restionaceae,帚燈草科,Restionaceae,帚燈草科
289,729,3,Bataceae,藜木科,Bataceae,肉穗果科
290,730,3,Podostemaceae,川苔草科,Podostemaceae,川苔草科
291,731,3,Brunelliaceae,槽柱花科,Brunelliaceae,槽柱花科
292,732,3,Calycanthaceae,蠟梅科,Calycanthaceae,蠟梅科
293,733,3,Ochnaceae,金蓮木科,Ochnaceae,金蓮木科
294,734,3,Tapisciaceae,癭椒樹科,Tapisciaceae,癭椒樹科
295,735,3,Viscaceae,槲寄生科,,
296,736,3,Clethraceae,榿葉樹科,Clethraceae,山柳科
297,737,3,Morinaceae,刺參科,,
298,738,3,Dipentodontaceae,十齒花科,Dipentodontaceae,十萼花科
299,739,3,Circaeasteraceae,星葉草科,Circaeasteraceae,星葉草科
300,740,3,Cistaceae,半日花科,Cistaceae,半日花科
301,741,3,Ixonanthaceae,粘木科,Ixonanthaceae,黏木科
302,742,3,Phyllanthaceae,葉下珠科,Phyllanthaceae,葉下珠科
303,743,3,Centroplacaceae,安神木科,Centroplacaceae,扁距木科
304,744,3,Amborellaceae,無油樟科,Amborellaceae,無油樟科
305,745,3,Hydatellaceae,獨蕊草科,Hydatellaceae,獨蕊草科
306,746,3,Austrobaileyaceae,木蘭藤科,Austrobaileyaceae,木蘭藤科
307,747,3,Trimeniaceae,早落瓣科,Trimeniaceae,早落瓣科
308,748,3,Canellaceae,白樟科,Canellaceae,白樟科
309,749,3,Winteraceae,林仙科,Winteraceae,林仙科
310,750,3,Degeneriaceae,單心木蘭科,Degeneriaceae,單心木蘭科
311,751,3,Himantandraceae,瓣蕊花科,Himantandraceae,瓣蕊花科
312,752,3,Eupomatiaceae,帽花木科,Eupomatiaceae,帽花木科
313,753,3,Siparunaceae,罈罐花科,Siparunaceae,罈罐花科
314,754,3,Gomortegaceae,葵樂果科,Gomortegaceae,葵樂果科
315,755,3,Atherospermataceae,香皮茶科,Atherospermataceae,香皮茶科
316,756,3,Monimiaceae,杯軸花科,Monimiaceae,杯軸花科
317,757,3,Acoraceae,菖蒲科,Acoraceae,菖蒲科
318,758,3,Tofieldiaceae,巖菖蒲科,Tofieldiaceae,巖菖蒲科
319,759,3,Scheuchzeriaceae,冰沼草科,Scheuchzeriaceae,冰沼草科
320,760,3,Maundiaceae,花香蒲科,Maundiaceae,花香蒲科
321,761,3,Posidoniaceae,海神草科,Posidoniaceae,海神草科
322,762,3,Velloziaceae,翡若翠科,Velloziaceae,翡若翠科
323,763,3,Campynemataceae,一葉草科,Campynemataceae,一葉草科
324,764,3,Corsiaceae,白玉簪科,Corsiaceae,白玉簪科
325,765,3,Melanthiaceae,黑葯花科,Melanthiaceae,黑葯花科
326,766,3,Petermanniaceae,花鬚藤科,Petermanniaceae,花鬚藤科
327,767,3,Colchicaceae,秋水仙科,Colchicaceae,秋水仙科
328,768,3,Philesiaceae,智利花科,Philesiaceae,智利花科
329,769,3,Ripogonaceae,無鬚藤科,Ripogonaceae,無鬚藤科
330,770,3,Boryaceae,耐旱草科,Boryaceae,耐旱草科
331,771,3,Blandfordiaceae,疣毛子科,Blandfordiaceae,疣毛子科
332,772,3,Asteliaceae,無柱花科,Asteliaceae,無柱花科
333,773,3,Lanariaceae,毛石蒜科,Lanariaceae,毛石蒜科
334,774,3,Doryanthaceae,矛纓花科,Doryanthaceae,矛纓花科
335,775,3,Ixioliriaceae,鳶尾蒜科,Ixioliriaceae,鳶尾蒜科
336,776,3,Tecophilaeaceae,異蕊草科,Tecophilaeaceae,異蕊草科
337,777,3,Xeronemataceae,血劍草科,Xeronemataceae,血劍草科
338,778,3,Asphodelaceae,金穗花科,Asphodelaceae,金穗花科
339,779,3,Asparagaceae,天門冬科,Asparagaceae,天門冬科
340,780,3,Dasypogonaceae,毛瓣花科,Dasypogonaceae,毛瓣花科
341,781,3,Hanguanaceae,缽子草科,Hanguanaceae,缽子草科
342,782,3,Lowiaceae,蘭花蕉科,Lowiaceae,蘭花蕉科
343,783,3,Heliconiaceae,蝎尾蕉科,Heliconiaceae,蝎尾蕉科
344,784,3,Costaceae,閉鞘薑科,Costaceae,閉鞘薑科
345,785,3,Rapateaceae,澤藺花科,Rapateaceae,澤藺花科
346,786,3,Mayacaceae,花水蘚科,Mayacaceae,花水蘚科
347,787,3,Thurniaceae,梭子草科,Thurniaceae,梭子草科
348,788,3,Joinvilleaceae,擬葦科,Joinvilleaceae,擬葦科
349,789,3,Ecdeiocoleaceae,溝稈草科,Ecdeiocoleaceae,溝稈草科
350,790,3,Eupteleaceae,領春木科,Eupteleaceae,領春木科
351,791,3,Myrothamnaceae,折扇葉科,Myrothamnaceae,折扇葉科
352,792,3,Peridiscaceae,翼蕊木科,Peridiscaceae,翼蕊木科
353,793,3,Altingiaceae,蕈樹科,Altingiaceae,蕈樹科
354,794,3,Cercidiphyllaceae,連香樹科,Cercidiphyllaceae,連香樹科
355,795,3,Iteaceae,鼠刺科,Iteaceae,鼠刺科
356,796,3,Grossulariaceae,茶藨子科,Grossulariaceae,茶藨子科
357,797,3,Aphanopetalaceae,隱瓣藤科,Aphanopetalaceae,隱瓣藤科
358,798,3,Tetracarpaeaceae,四果木科,Tetracarpaeaceae,四果木科
359,799,3,Penthoraceae,扯根菜科,Penthoraceae,扯根菜科
360,800,3,Krameriaceae,刺球果科,Krameriaceae,刺球果科
361,801,3,Quillajaceae,皂皮樹科,Quillajaceae,皂皮樹科
362,802,3,Surianaceae,海人樹科,Surianaceae,海人樹科
363,803,3,Barbeyaceae,鉤毛樹科,Barbeyaceae,鉤毛樹科
364,804,3,Dirachmaceae,八瓣果科,Dirachmaceae,八瓣果科
365,805,3,Nothofagaceae,南山毛櫸科,Nothofagaceae,南山毛櫸科
366,806,3,Ticodendraceae,核果樺科,Ticodendraceae,核果樺科
367,807,3,Apodanthaceae,風生花科,Apodanthaceae,風生花科
368,808,3,Corynocarpaceae,榛果木科,Corynocarpaceae,榛果木科
369,809,3,Datiscaceae,疣柱花科,Datiscaceae,疣柱花科
370,810,3,Lepidobotryaceae,鱗球穗科,Lepidobotryaceae,鱗球穗科
371,811,3,Huaceae,蒜樹科,Huaceae,蒜樹科
372,812,3,Cunoniaceae,南薔薇科,Cunoniaceae,南薔薇科
373,813,3,Cephalotaceae,囊葉草科,Cephalotaceae,囊葉草科
374,814,3,Irvingiaceae,苞芽樹科,Irvingiaceae,苞芽樹科
375,815,3,Ctenolophonaceae,梳狀冠科,Ctenolophonaceae,梳狀冠科
376,816,3,Bonnetiaceae,多籽樹科,Bonnetiaceae,多籽樹科
377,817,3,Calophyllaceae,紅厚殼科,Calophyllaceae,紅厚殼科
378,818,3,Hypericaceae,金絲桃科,Hypericaceae,金絲桃科
379,819,3,Caryocaraceae,油桃木科,Caryocaraceae,油桃木科
380,820,3,Lophopyxidaceae,五翼果科,Lophopyxidaceae,五翼果科
381,821,3,Putranjivaceae,非洲核果木科,Putranjivaceae,非洲核果木科
382,822,3,Balanopaceae,橡實科,Balanopaceae,橡實科
383,823,3,Trigoniaceae,三角果科,Trigoniaceae,三角果科
384,824,3,Dichapetalaceae,毒鼠子科,Dichapetalaceae,毒鼠子科
385,825,3,Euphroniaceae,合絲花科,Euphroniaceae,合絲花科
386,826,3,Chrysobalanaceae,可可李科,Chrysobalanaceae,可可李科
387,827,3,Humiriaceae,樹脂核科,Humiriaceae,樹脂核科
388,828,3,Achariaceae,脊臍子科,Achariaceae,脊臍子科
389,829,3,Goupiaceae,毛葯樹科,Goupiaceae,毛葯樹科
390,830,3,Lacistemataceae,裂葯花科,Lacistemataceae,裂葯花科
391,831,3,Peraceae,蚌殼木科,Peraceae,蚌殼木科
392,832,3,Picrodendraceae,苦胡桃科,Picrodendraceae,苦胡桃科
393,833,3,Francoaceae,花莖草科,Francoaceae,花莖草科
394,834,3,Vochysiaceae,萼囊花科,Vochysiaceae,萼囊花科
395,835,3,Crypteroniaceae,隱翼木科,Crypteroniaceae,隱翼木科
396,836,3,Alzateaceae,雙隔果科,Alzateaceae,雙隔果科
397,837,3,Penaeaceae,管萼木科,Penaeaceae,管萼木科
398,838,3,Aphloiaceae,脫皮檀科,Aphloiaceae,脫皮檀科
399,839,3,Geissolomataceae,四稜果科,Geissolomataceae,四稜果科
400,840,3,Strasburgeriaceae,栓皮果科,Strasburgeriaceae,栓皮果科
401,841,3,Guamatelaceae,南線梅科,Guamatelaceae,南線梅科
402,842,3,Crossosomataceae,流蘇子科,Crossosomataceae,流蘇子科
403,843,3,Picramniaceae,美洲苦木科,Picramniaceae,美洲苦木科
404,844,3,Gerrardinaceae,柳紅苺科,Gerrardinaceae,柳紅苺科
405,845,3,Petenaeaceae,紅毛椴科,Petenaeaceae,紅毛椴科
406,846,3,Biebersteiniaceae,熏倒牛科,Biebersteiniaceae,熏倒牛科
407,847,3,Nitrariaceae,白刺科,Nitrariaceae,白刺科
408,848,3,Kirkiaceae,稜鏡果科,Kirkiaceae,稜鏡果科
409,849,3,Cytinaceae,簇花科,Cytinaceae,簇花科
410,850,3,Muntingiaceae,文定果科,Muntingiaceae,文定果科
411,851,3,Neuradaceae,兩極孔草科,Neuradaceae,兩極孔草科
412,852,3,Sphaerosepalaceae,球萼樹科,Sphaerosepalaceae,球萼樹科
413,853,3,Sarcolaenaceae,苞杯花科,Sarcolaenaceae,苞杯花科
